file,issue,note
MedicalCenter_PRODUCTION/Functional_Test_Report.md,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/README_DETAILED.md,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/RUN_CHECKS.md,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/CHANGELOG.md,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/Security_Review_and_Functional_Test_Plan.md,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/swagger.js,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/Security_Review_Report.md,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/frontend/src/app.config.ts,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/frontend/src/styles_mobile.scss,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/frontend/src/data/exams_updated.ts,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/frontend/src/data/exams.ts,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/frontend/src/data/clinics.ts,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/frontend/src/components/RecordsManager.tsx,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/frontend/src/components/Reports.tsx,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/backend/data/voicePrompts.json,I18N_OFFENDER_JS,Arabic string not wrapped
MedicalCenter_PRODUCTION/seeds/sample.json,I18N_OFFENDER_JS,Arabic string not wrapped
